repo,repo_url,stars,description,total_candidates,ai_confirmed_count,confirmed_diagram_files
microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,27922,Integrate cutting-edge LLM technology quickly and easily into your apps,15,14,docs/decisions/diagrams/search-abstractions.png | docs/decisions/diagrams/text-search-abstraction.png | docs/decisions/diagrams/text-search-imemorystore.png | docs/decisions/diagrams/text-search-iwebsearchengineconnector.png | dotnet/samples/Demos/ProcessFrameworkWithAspire/docs/architecture.png | docs/decisions/diagrams/agent-design.png | docs/decisions/diagrams/chat-text-models.png | docs/decisions/diagrams/git-flow.png | dotnet/samples/Demos/A2AClientServer/demo-architecture.png | docs/decisions/diagrams/agent-abstractions.png | docs/decisions/diagrams/agent-aggregator.png | docs/decisions/diagrams/agent-analysis.png | docs/decisions/diagrams/agent-assistant.png | docs/decisions/diagrams/agent-chatcompletion.png
jina-ai/serve,https://github.com/jina-ai/serve,21872,☁️ Build multimodal AI applications with cloud-native stack,15,14,docs/concepts/preliminaries/arch-deployment-overview.png | docs/concepts/preliminaries/arch-flow-overview.svg | .github/images/deployment-diagram.png | docs/concepts/serving/gateway/multi-protocol-flow.png | .github/images/flow-diagram.png | docs/concepts/orchestration/images/conditional-flow.svg | docs/concepts/orchestration/images/empty-flow.svg | docs/concepts/orchestration/images/flow-2.svg | docs/concepts/orchestration/images/flow-merge-executor.svg | docs/concepts/orchestration/images/flow.svg | docs/concepts/orchestration/images/flow_cancel_floating.svg | docs/concepts/orchestration/images/flow_chain_floating.svg | docs/concepts/orchestration/images/flow_floating.svg | docs/concepts/orchestration/images/flow_middle_1.svg
skypilot-org/skypilot,https://github.com/skypilot-org/skypilot,9988,"Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, Slurm, 20+ clouds, on-prem).",15,14,docs/source/images/job-groups-rl-architecture.jpg | docs/source/images/job-groups-rl-architecture.svg | docs/source/images/job-groups-train-eval-architecture.png | docs/source/images/k8s-skypilot-architecture-dark.png | docs/source/images/k8s-skypilot-architecture-light.png | docs/source/images/pools-architecture.jpg | docs/source/images/sky-serve-architecture.png | docs/source/images/examples/k8s-with-kueue/final-architecture.svg | docs/source/images/client-server/high-level-arch.png | docs/source/images/sky-existing-infra-workflow-dark.png | docs/source/images/sky-existing-infra-workflow-light.png | docs/source/images/client-server/arch.png | docs/source/images/managed-jobs-arch.png | docs/source/images/sky-serve-ha-architechture.png
determined-ai/determined,https://github.com/determined-ai/determined,3225,"Determined is an open-source machine learning platform that simplifies distributed training, hyperparameter tuning, experiment tracking, and resource management. Works with PyTorch and TensorFlow.",14,13,docs/assets/images/det-cloud-architecture.png | docs/setup-cluster/slurm/hpc-launching-arch-diagram.png | docs/assets/images/_det-ai-sys-arch-01-dark.png | docs/assets/images/_det-ai-sys-arch-01-light.png | docs/assets/images/_det-ai-sys-arch-01-start-dark.png | docs/assets/images/_det-ai-sys-arch-01-start-light.png | docs/assets/images/arch00.png | docs/assets/images/arch01.png | docs/assets/images/arch02.png | docs/assets/images/arch03.png | docs/assets/images/arch04.png | docs/assets/images/det-arch-elastic-infra.png | docs/assets/images/pach-batch-inf-pipeline.png
run-llama/llama_index,https://github.com/run-llama/llama_index,49466,LlamaIndex is the leading document agent and OCR platform,15,13,docs/src/content/docs/framework/_static/query/pipeline_rag_example.png | docs/src/content/docs/framework/_static/agents/workflow-weaviate-multiagent.png | docs/src/content/docs/framework/_static/production_rag/structured_retrieval.png | docs/src/content/docs/framework/understanding/agent/agentworkflow.jpg | docs/api_reference/api_reference/_static/assets/LlamaSquareBlack.svg | docs/src/content/docs/framework/_static/composability/diagram.png | docs/src/content/docs/framework/_static/composability/diagram_b1.png | docs/src/content/docs/framework/_static/composability/diagram_q1.png | docs/src/content/docs/framework/_static/composability/diagram_q2.png | docs/src/content/docs/framework/_static/getting_started/basic_rag.png | docs/src/content/docs/framework/_static/getting_started/rag.jpg | docs/src/content/docs/framework/_static/production_rag/decouple_chunks.png | docs/src/content/docs/framework/_static/production_rag/doc_agents.png
volcano-sh/volcano,https://github.com/volcano-sh/volcano,5570,A Cloud Native Batch System (Project under CNCF),15,13,docs/design/images/ray_plugin_cluster_architecture.png | docs/design/colocation/images/architecture.jpg | docs/design/images/network-topology-aware/implementation-overview.png | docs/images/volcano-architecture.png | docs/design/images/queue_reservation_allocate_workflow.png | docs/design/images/workflow.png | docs/design/images/event-handler-arch.png | docs/design/images/hierarchical-queue-on-capacity-plugin.png | docs/design/images/network-topology-aware/allocated-hypernode-maintenance.png | docs/design/images/network-topology-aware/network-topology-implementation-01.png | docs/design/images/network-topology-aware/network-topology-implementation-02.png | docs/design/images/network-topology-aware/network-topology-usecase1.png | docs/design/images/network-topology-aware/network-topology-usecase2.png
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations,11514,Always know what to expect from your data.,15,13,docs/docusaurus/versioned_docs/version-0.18/cloud/architecture_deployment_images/gx_cloud_architecture_components.png | docs/docusaurus/versioned_docs/version-0.18/cloud/architecture_deployment_images/gx_cloud_architecture_and_deployment_diagrams.drawio | docs/docusaurus/docs/core/introduction/overview_images/gx_workflow_steps_and_components.png | docs/docusaurus/versioned_docs/version-0.18/cloud/architecture_deployment_images/orchestrated_deployment.png | docs/docusaurus/versioned_docs/version-0.18/cloud/architecture_deployment_images/org_hosted_deployment.png | docs/docusaurus/versioned_docs/version-0.18/cloud/architecture_deployment_images/self_hosted_deployment.png | docs/docusaurus/docs/cloud/overview/overview_images/gx_cloud_architecture.png | docs/docusaurus/docs/cloud/overview/overview_images/gx_cloud_workflow_enhanced.png | docs/docusaurus/docs/cloud/deploy/deployment_images/deployment_diagrams.drawio | docs/docusaurus/docs/cloud/overview/overview_images/gx_cloud_pipeline.png | docs/docusaurus/static/docs/oss/images/pipeline_diagram_two_nodes.png | docs/docusaurus/versioned_docs/version-0.18/oss/deployment_patterns/images/ge_and_gcp_diagram.png | docs/docusaurus/static/docs/oss/images/data_source_high_level_diagram.png
apache/hamilton,https://github.com/apache/hamilton,2488,"Apache Hamilton helps data scientists and engineers define testable, modular, self-documenting dataflows, that encode lineage/tracing and metadata. Runs and scales everywhere python does.",15,13,docs/_static/architecture_overview.png | examples/LLM_Workflows/RAG_document_extract_chunk_embed/pipeline-steps.png | examples/LLM_Workflows/retrieval_augmented_generation/backend/docs/rag_summary.png | examples/LLM_Workflows/neo4j_graph_rag/docs/images/embed_dag.png | examples/LLM_Workflows/neo4j_graph_rag/docs/images/ingest_dag.png | examples/LLM_Workflows/neo4j_graph_rag/docs/images/rag_dag.png | examples/LLM_Workflows/NER_Example/ner_extraction_pipeline.png | examples/LLM_Workflows/retrieval_augmented_generation/backend/docs/documents.png | examples/LLM_Workflows/retrieval_augmented_generation/backend/docs/store_arxiv.png | examples/LLM_Workflows/retrieval_augmented_generation/backend/docs/store_pdfs.png | examples/LLM_Workflows/scraping_and_chunking/pipeline.png | examples/LLM_Workflows/scraping_and_chunking/spark/pipeline.png | examples/LLM_Workflows/GraphRAG/ingest_fighters.png
statmike/vertex-ai-mlops,https://github.com/statmike/vertex-ai-mlops,694,Google Cloud Platform Vertex AI end-to-end workflows for machine learning operations,15,13,architectures/notebooks/mlops/readme/pipelines-overview-3-pipeline_run.png | architectures/notebooks/mlops/readme/pipelines-overview-4-pipeline_task_review.png | architectures/notebooks/mlops/readme/pipelines-overview-5-pipeline_task_job.png | architectures/architectures/images/custom training/a_workflow.png | architectures/architectures/images/custom training/b_workflow.png | architectures/architectures/images/custom training/c_workflow.png | architectures/architectures/images/custom training/d_workflow.png | architectures/architectures/images/custom training/e_workflow.png | architectures/architectures/images/custom training/f_workflow.png | architectures/architectures/images/custom training/nb_workflow.png | architectures/notebooks/mlops/feature_json.png | architectures/architectures/images/feature store/readme/overview.png | architectures/notebooks/mlops/readme/kfp.png
Meesho/BharatMLStack,https://github.com/Meesho/BharatMLStack,693,"BharatMLStack is an open-source, end-to-end machine learning infrastructure stack built at Meesho to support real-time and batch ML workloads at Bharat scale",15,13,docs-src/blog/bharatmlstack-history/scaling-model-inference-and-embedding-search/vss.png | assets/bharatmlstack-architecture.png | docs-src/static/img/skye-system-overview.png | docs-src/static/img/v1.0.0-inferflow-arch.png | docs/assets/images/online-feature-store-v0-86ec0010947ae24621f39ebd0d1729ca.png | docs/assets/images/skye-system-overview-24940f4c319f41fb3b7583a525b0a534.png | docs/assets/images/v1.0.0-inferflow-arch-bce54b3b4f7d3be68fa22dc204529f53.png | docs/img/skye-system-overview.png | docs/img/v1.0.0-inferflow-arch.png | docs-src/static/img/v1.0.0-onfs-arch.png | docs/assets/images/first-gen-arch-7c0b286810aecb7eff42b48f51caee1f.png | docs/assets/images/old-batch-arch-bc2cedbc1fed0fc6f08479ba8fe52996.png | docs/assets/images/v1.0.0-onfs-arch-7b3e91a84b2a24a378d13db769995c08.png
Galileo-Galilei/kedro-mlflow,https://github.com/Galileo-Galilei/kedro-mlflow,231,A kedro-plugin for integration of mlflow capabilities inside kedro projects (especially machine learning model versioning and packaging),15,13,docs/source/imgs/ml_pipeline/preprocessing/inference.PNG | docs/source/imgs/ml_pipeline/shared_inputs/inference.PNG | docs/source/imgs/ml_pipeline/tokenizer/inference.PNG | docs/source/imgs/ml_pipeline/vanilla/inference.PNG | docs/source/imgs/ml_pipeline/preprocessing/training.PNG | docs/source/imgs/ml_pipeline/shared_inputs/training.PNG | docs/source/imgs/ml_pipeline/tokenizer/training.PNG | docs/source/imgs/ml_pipeline/vanilla/training.PNG | docs/source/imgs/ml_pipeline/preprocessing/all.PNG | docs/source/imgs/ml_pipeline/shared_inputs/all.PNG | docs/source/imgs/ml_pipeline/tokenizer/all.PNG | docs/source/imgs/ml_pipeline/vanilla/all.PNG | docs/source/imgs/mlflow_tracking_schema.png
GoogleCloudPlatform/vertex-ai-samples,https://github.com/GoogleCloudPlatform/vertex-ai-samples,729,"Notebooks, code samples, sample apps, and other resources that demonstrate how to use, develop and manage machine learning and generative AI workflows using Google Cloud Vertex AI.",15,12,notebooks/community/feature_store/mobile_gaming/assets/mobile_gaming_architecture_1.png | notebooks/community/feature_store/mobile_gaming/assets/online_serving_5.png | community-content/pytorch_text_classification_using_vertex_sdk_and_gcloud/images/pipelines-high-level-flow.png | community-content/tf_agents_bandits_movie_recommendation_with_kfp_and_vertex_sdk/mlops_pipeline_tf_agents_bandits_movie_recommendation/mlops-pipeline-design.png | notebooks/community/feature_store/mobile_gaming/assets/feature_store_data_model_3.png | notebooks/community/feature_store/mobile_gaming/assets/train_model_4.png | notebooks/community/feature_store/mobile_gaming/assets/feature_store_ingestion_2.png | notebooks/community/ml_ops/stage3/images/trigger-airflow-dag-on-cloud-composer-from-vertex-pipeline.png | notebooks/community/model_evaluation/images/automl_tabular_classification_evaluation_pipeline.PNG | notebooks/community/model_evaluation/images/automl_tabular_regression_evaluation_pipeline.PNG | notebooks/official/model_evaluation/images/automl_tabular_classification_evaluation_pipeline.PNG | notebooks/official/model_evaluation/images/automl_tabular_regression_evaluation_pipeline.PNG
thoughtworks/mlops-platforms,https://github.com/thoughtworks/mlops-platforms,395,"Compare MLOps Platforms. Breakdowns of SageMaker, VertexAI, AzureML, Dataiku, Databricks, h2o, kubeflow, mlflow...",15,12,images/google_vertex/vertex-components-flows.png | images/google_vertex/vertex-components.png | images/knime/random_forest_simple_workflow.svg | images/kubeflow/kubeflow-overview.svg | images/whitepaper_MLOps_Landscape.png | images/google_vertex/vertex-pipeline.png | images/aws_sagemaker/sagemaker-overview.png | images/dataiku/dataiku-flow-recipes.png | images/kubeflow/kubeflow-metadata-artifacts.png | images/mlflow/mlflow-concepts.png | images/mlflow/mlflow-lifecycle.png | images/mlflow/mlflow-projects.png
bentoml/BentoML,https://github.com/bentoml/BentoML,8650,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",15,11,docs/source/_static/img/get-started/packaging-for-deployment/bento-architecture.png | docs/source/_static/img/batching-architecture.png | docs/source/_static/img/bentocloud/get-started/byoc/bentocloud-byoc-architecture.png | docs/source/_static/img/get-started/cloud-deployment/bentocloud-deployment-workflow.png | docs/source/_static/img/examples/langgraph/langgraph-bentoml-architecture.png | docs/source/_static/img/examples/shieldgemma/architecture-shield.png | docs/source/_static/img/monitoring_workflow.png | docs/source/_static/img/build-with-bentoml/gpu-inference/gpu-inference-architecture.png | docs/source/_static/img/inference-graph-diagram.png | docs/source/_static/img/batching-arch.svg | docs/source/_static/img/bentocloud/how-to/canary-deployments/carnary-deployment-bentocloud.png
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,195137,An Open Source Machine Learning Framework for Everyone,15,11,third_party/xla/docs/images/emitters-pipeline-overview.jpg | tensorflow/lite/g3doc/inference_with_metadata/task_library/images/android_task_api.svg | tensorflow/lite/g3doc/inference_with_metadata/task_library/images/ios_task_api.svg | tensorflow/lite/g3doc/inference_with_metadata/task_library/images/native_task_api.svg | tensorflow/lite/g3doc/images/convert/convert_workflow_diag.png | tensorflow/lite/g3doc/images/convert/workflow.svg | tensorflow/lite/g3doc/r1/images/convert/workflow.svg | tensorflow/lite/g3doc/examples/auto_complete/images/tflite_workflow.png | tensorflow/lite/g3doc/images/convert/model_with_metadata.png | third_party/xla/docs/images/gpu_pipeline.png | third_party/xla/docs/images/triton_opt_pipeline.png
feathr-ai/feathr,https://github.com/feathr-ai/feathr,1929,"Feathr – A scalable, unified data and AI engineering platform for enterprise",14,11,docs/images/architecture.png | docs/images/cognitive-search-enrichment-architecture.png | docs/images/feature_store_producer_consumer.jpg | docs/images/feathr-feature-materliazation-flow.png | docs/images/feathr-get-offline-features-flow.png | docs/images/feature_flow.png | docs/images/online_inference.jpg | docs/images/product_recommendation_overview.png | docs/images/registry_abstraction.png | docs/images/feature-details.png | docs/samples/customer360/Feature_engineering_c360.jpg
pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,6294,Data-Centric Pipelines and Data Versioning,15,11,console/frontend/components/src/Svg/Pachyderm/elephantEmptyState.svg | console/frontend/components/src/Svg/Pachyderm/elephantErrorState.svg | examples/globalID/img/global_commit_after_updatepipeline_edges.png | examples/globalID/img/global_commit_after_updatepipeline_montage.png | examples/ml/housing-prices/images/regression_pipeline.png | examples/gatk/pipeline.png | examples/ml/hyperparameter/pipeline1.png | examples/ml/hyperparameter/pipeline2.png | examples/ml/hyperparameter/pipeline3.png | examples/ml/hyperparameter/pipeline4.png | examples/ml/iris/pipeline.png
4paradigm/OpenMLDB,https://github.com/4paradigm/OpenMLDB,1681,OpenMLDB is an open-source machine learning database that provides a feature platform computing consistent features for training and inference.,15,11,docs/en/reference/arch/images/architecture.png | docs/en/reference/arch/resources/architecture.drawio | docs/zh/reference/arch/images/architecture.png | docs/zh/reference/arch/resources/architecture.drawio | docs/en/reference/arch/images/binlog_snapshot.png | docs/en/reference/arch/images/core_data_structure/2.png | docs/en/reference/arch/images/core_data_structure/4.png | docs/en/reference/arch/images/sql_engine.png | docs/en/reference/arch/images/table_partition.png | docs/en/reference/arch/resources/table_partition.drawio | docs/zh/reference/arch/images/binlog_snapshot.png
